time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw,diesel_power_mw__diesel_slow,diesel_power_mw__diesel_fast,storage_power_mw__bess_1,storage_power_mw__bess_2,storage_soc__bess_1,storage_soc__bess_2
2.42,49.3905815,-0.609418514,0.22357352,1.0420193,0.749929841,2,0.0853486135,0.138224907,0.616478784,0.425540518,0.799935665,0.649918194
2.44,49.3890824,-0.610917552,0.227170954,1.04348753,0.749928553,2,0.0869041573,0.140266797,0.617157888,0.426329645,0.799934522,0.649916615
2.46,49.3876638,-0.612336165,0.230740726,1.04485266,0.749927263,2,0.0884548272,0.142285899,0.617782296,0.427070368,0.799933378,0.649915034
2.48,49.386323,-0.613676955,0.234282349,1.04611824,0.749925972,2,0.090000361,0.144281988,0.61835393,0.427764308,0.799932233,0.649913449
2.5,49.3850575,-0.614942455,0.237795373,1.0472877,0.749924679,2,0.0915405074,0.146254866,0.618874657,0.42841304,0.799931087,0.649911862
2.52,49.3838649,-0.616135127,0.241279379,1.04836439,0.749923384,2,0.0930750264,0.148204353,0.619346293,0.429018097,0.79992994,0.649910274
2.54,49.3827426,-0.617257369,0.244733982,1.04935157,0.749922089,2,0.0946036883,0.150130294,0.619770602,0.429580968,0.799928792,0.649908683
2.56,49.3816885,-0.618311511,0.248158827,1.0502524,0.749920792,2,0.0961262741,0.152032553,0.620149299,0.430103101,0.799927644,0.64990709
2.58,49.3807002,-0.619299823,0.251553588,1.05106995,0.749919495,2,0.0976425745,0.153911013,0.620484047,0.430585905,0.799926494,0.649905495
2.6,49.3797755,-0.620224511,0.254917968,1.05180721,0.749918196,2,0.09915239,0.155765578,0.620776466,0.431030746,0.799925345,0.649903898
2.62,49.3789123,-0.62108772,0.2582517,1.05246708,0.749916897,2,0.100655531,0.157596169,0.621028125,0.431438955,0.799924195,0.6499023
2.64,49.3781085,-0.621891537,0.26155454,1.05305238,0.749915597,2,0.102151815,0.159402724,0.621240552,0.431811824,0.799923044,0.649900701
2.66,49.377362,-0.622637991,0.264826271,1.05356583,0.749914296,2,0.103641072,0.161185199,0.621415226,0.432150608,0.799921894,0.649899101
2.68,49.3766709,-0.623329056,0.268066701,1.05401011,0.749912995,2,0.105123138,0.162943564,0.621553588,0.432456527,0.799920743,0.649897499
2.7,49.3760334,-0.62396665,0.271275662,1.0543878,0.749911693,2,0.106597857,0.164677805,0.621657033,0.432730767,0.799919591,0.649895896
2.72,49.3754474,-0.624552636,0.274453007,1.0547014,0.749910391,2,0.108065082,0.166387925,0.621726917,0.432974479,0.79991844,0.649894293
2.74,49.3749112,-0.625088829,0.277598612,1.05495334,0.749909088,2,0.109524674,0.168073938,0.621764555,0.433188781,0.799917289,0.649892688
2.76,49.374423,-0.625576989,0.280712374,1.05514599,0.749907786,2,0.110976502,0.169735872,0.621771226,0.43337476,0.799916137,0.649891083
