time_s,frequency_hz,delta_frequency_hz,diesel_power_mw,storage_power_mw,storage_soc,power_deficit_mw
5.06,49.3483883,-0.651611708,0.423641401,0.957097252,0.799742378,2
5.08,49.3487947,-0.651205296,0.42437788,0.956523321,0.799741049,2
5.1,49.349198,-0.650802001,0.425103744,0.9559546,0.799739721,2
5.12,49.3495982,-0.650401848,0.425819122,0.955391098,0.799738394,2
5.14,49.3499951,-0.650004863,0.426524146,0.954832822,0.799737068,2
5.16,49.3503889,-0.649611068,0.427218943,0.954279776,0.799735743,2
5.18,49.3507795,-0.649220485,0.427903642,0.953731962,0.799734418,2
5.2,49.3511669,-0.648833132,0.42857837,0.953189381,0.799733094,2
5.22,49.351551,-0.648449026,0.429243251,0.952652033,0.799731771,2
5.24,49.3519318,-0.648068185,0.429898411,0.952119913,0.799730449,2
5.26,49.3523094,-0.64769062,0.430543972,0.951593018,0.799729127,2
5.28,49.3526837,-0.647316345,0.431180058,0.951071342,0.799727806,2
5.3,49.3530546,-0.64694537,0.431806788,0.950554876,0.799726486,2
5.32,49.3534223,-0.646577704,0.432424283,0.950043611,0.799725166,2
5.34,49.3537866,-0.646213355,0.433032662,0.949537537,0.799723848,2
5.36,49.3541477,-0.645852329,0.433632042,0.949036641,0.79972253,2
5.38,49.3545054,-0.645494632,0.43422254,0.94854091,0.799721212,2
5.4,49.3548597,-0.645140267,0.434804272,0.948050328,0.799719895,2
5.42,49.3552108,-0.644789236,0.435377351,0.947564881,0.799718579,2
5.44,49.3555585,-0.64444154,0.435941891,0.947084551,0.799717264,2
5.46,49.3559028,-0.644097179,0.436498005,0.946609319,0.799715949,2
5.48,49.3562438,-0.643756152,0.437045802,0.946139165,0.799714635,2
5.5,49.3565815,-0.643418457,0.437585393,0.945674071,0.799713322,2
5.52,49.3569159,-0.64308409,0.438116887,0.945214013,0.799712009,2
5.54,49.357247,-0.642753047,0.438640391,0.944758969,0.799710697,2
5.56,49.3575747,-0.642425322,0.439156011,0.944308917,0.799709385,2
5.58,49.3578991,-0.642100909,0.439663854,0.943863831,0.799708074,2
5.6,49.3582202,-0.641779802,0.440164023,0.943423688,0.799706764,2
5.62,49.358538,-0.641461991,0.440656621,0.94298846,0.799705454,2
5.64,49.3588525,-0.641147467,0.441141751,0.942558121,0.799704145,2
5.66,49.3591638,-0.640836222,0.441619513,0.942132644,0.799702837,2
5.68,49.3594718,-0.640528244,0.442090007,0.941712,0.799701529,2
5.7,49.3597765,-0.640223522,0.442553333,0.941296162,0.799700221,2
5.72,49.360078,-0.639922045,0.443009588,0.940885099,0.799698915,2
5.74,49.3603762,-0.639623799,0.443458869,0.940478782,0.799697608,2
5.76,49.3606712,-0.639328771,0.44390127,0.940077181,0.799696303,2
5.78,49.3609631,-0.639036946,0.444336888,0.939680263,0.799694998,2
5.8,49.3612517,-0.638748312,0.444765815,0.939287998,0.799693693,2
5.82,49.3615371,-0.638462852,0.445188143,0.938900354,0.799692389,2
5.84,49.3618194,-0.63818055,0.445603964,0.938517299,0.799691085,2
5.86,49.3620986,-0.637901391,0.446013369,0.938138798,0.799689783,2
5.88,49.3623746,-0.637625358,0.446416446,0.93776482,0.79968848,2
5.9,49.3626476,-0.637352434,0.446813285,0.937395331,0.799687178,2
5.92,49.3629174,-0.6370826,0.447203971,0.937030296,0.799685877,2
5.94,49.3631842,-0.636815839,0.447588593,0.936669682,0.799684576,2
5.96,49.3634479,-0.636552132,0.447967233,0.936313453,0.799683275,2
5.98,49.3637085,-0.636291461,0.448339978,0.935961576,0.799681975,2
6,49.3639662,-0.636033806,0.44870691,0.935614015,0.799680676,2
6.02,49.3642209,-0.635779148,0.449068111,0.935270735,0.799679377,2
6.04,49.3644725,-0.635527467,0.449423663,0.934931699,0.799678078,2
6.06,49.3647213,-0.635278742,0.449773647,0.934596874,0.79967678,2
6.08,49.364967,-0.635032953,0.45011814,0.934266223,0.799675483,2
6.1,49.3652099,-0.63479008,0.450457222,0.933939709,0.799674186,2
6.12,49.3654499,-0.6345501,0.450790971,0.933617297,0.799672889,2
6.14,49.365687,-0.634312994,0.451119462,0.93329895,0.799671593,2
6.16,49.3659213,-0.634078739,0.451442771,0.932984633,0.799670297,2
6.18,49.3661527,-0.633847314,0.451760973,0.932674308,0.799669002,2
6.2,49.3663813,-0.633618696,0.452074142,0.932367939,0.799667707,2
6.22,49.3666071,-0.633392865,0.45238235,0.932065491,0.799666412,2
6.24,49.3668302,-0.633169796,0.45268567,0.931766925,0.799665118,2
6.26,49.3670505,-0.632949469,0.452984171,0.931472206,0.799663824,2
6.28,49.3672681,-0.63273186,0.453277925,0.931181297,0.799662531,2
6.3,49.3674831,-0.632516948,0.453567001,0.930894161,0.799661238,2
6.32,49.3676953,-0.632304708,0.453851467,0.930610762,0.799659945,2
6.34,49.3679049,-0.632095119,0.45413139,0.930331063,0.799658653,2
6.36,49.3681118,-0.631888156,0.454406837,0.930055028,0.799657362,2
6.38,49.3683162,-0.631683798,0.454677873,0.92978262,0.79965607,2
6.4,49.368518,-0.631482021,0.454944565,0.929513803,0.799654779,2
6.42,49.3687172,-0.631282802,0.455206976,0.92924854,0.799653489,2
6.44,49.3689139,-0.631086117,0.455465168,0.928986796,0.799652198,2
6.46,49.3691081,-0.630891944,0.455719206,0.928728534,0.799650908,2
6.48,49.3692997,-0.630700259,0.455969149,0.928473717,0.799649619,2
6.5,49.369489,-0.630511039,0.45621506,0.928222311,0.79964833,2
6.52,49.3696757,-0.63032426,0.456456997,0.927974279,0.799647041,2
6.54,49.3698601,-0.630139899,0.456695021,0.927729585,0.799645752,2
6.56,49.3700421,-0.629957933,0.45692919,0.927488195,0.799644464,2
6.58,49.3702217,-0.629778338,0.457159562,0.927250071,0.799643176,2
6.6,49.3703989,-0.629601092,0.457386193,0.92701518,0.799641889,2
6.62,49.3705738,-0.62942617,0.45760914,0.926783486,0.799640602,2
6.64,49.3707464,-0.62925355,0.457828458,0.926554954,0.799639315,2
6.66,49.3709168,-0.629083209,0.458044202,0.926329549,0.799638028,2
6.68,49.3710849,-0.628915123,0.458256425,0.926107237,0.799636742,2
6.7,49.3712507,-0.62874927,0.458465182,0.925887983,0.799635456,2
6.72,49.3714144,-0.628585625,0.458670524,0.925671753,0.79963417,2
6.74,49.3715758,-0.628424167,0.458872504,0.925458513,0.799632885,2
6.76,49.3717351,-0.628264873,0.459071172,0.925248228,0.7996316,2
6.78,49.3718923,-0.628107719,0.45926658,0.925040866,0.799630315,2
6.8,49.3720473,-0.627952683,0.459458776,0.924836393,0.799629031,2
6.82,49.3722003,-0.627799742,0.459647809,0.924634774,0.799627746,2
6.84,49.3723511,-0.627648874,0.459833729,0.924435979,0.799626462,2
6.86,49.3724999,-0.627500056,0.460016583,0.924239973,0.799625179,2
6.88,49.3726467,-0.627353266,0.460196417,0.924046723,0.799623895,2
6.9,49.3727915,-0.627208482,0.460373279,0.923856199,0.799622612,2
6.92,49.3729343,-0.627065681,0.460547215,0.923668366,0.799621329,2
6.94,49.3730752,-0.626924842,0.460718268,0.923483194,0.799620047,2
6.96,49.3732141,-0.626785942,0.460886484,0.923300651,0.799618764,2
6.98,49.373351,-0.62664896,0.461051907,0.923120704,0.799617482,2
7,49.3734861,-0.626513874,0.461214579,0.922943324,0.7996162,2
7.02,49.3736193,-0.626380663,0.461374544,0.922768478,0.799614919,2
7.04,49.3737507,-0.626249305,0.461531844,0.922596137,0.799613637,2
7.06,49.3738802,-0.626119779,0.46168652,0.922426269,0.799612356,2
7.08,49.3740079,-0.625992063,0.461838613,0.922258844,0.799611075,2
7.1,49.3741339,-0.625866138,0.461988164,0.922093832,0.799609795,2
7.12,49.374258,-0.625741981,0.462135211,0.921931204,0.799608514,2
7.14,49.3743804,-0.625619572,0.462279795,0.92177093,0.799607234,2
7.16,49.3745011,-0.625498891,0.462421953,0.92161298,0.799605954,2
7.18,49.3746201,-0.625379916,0.462561725,0.921457326,0.799604674,2
7.2,49.3747374,-0.625262629,0.462699147,0.921303939,0.799603395,2
7.22,49.374853,-0.625147008,0.462834257,0.921152789,0.799602115,2
7.24,49.374967,-0.625033033,0.46296709,0.92100385,0.799600836,2
7.26,49.3750793,-0.624920686,0.463097684,0.920857093,0.799599557,2
7.28,49.3751901,-0.624809945,0.463226072,0.920712489,0.799598278,2
7.3,49.3752992,-0.624700792,0.463352291,0.920570013,0.799597,2
7.32,49.3754068,-0.624593207,0.463476374,0.920429635,0.799595721,2
7.34,49.3755128,-0.624487171,0.463598356,0.92029133,0.799594443,2
7.36,49.3756173,-0.624382665,0.46371827,0.920155071,0.799593165,2
7.38,49.3757203,-0.624279669,0.463836149,0.92002083,0.799591887,2
7.4,49.3758218,-0.624178166,0.463952025,0.919888583,0.79959061,2
7.42,49.3759219,-0.624078136,0.46406593,0.919758302,0.799589332,2
7.44,49.3760204,-0.623979561,0.464177896,0.919629962,0.799588055,2
7.46,49.3761176,-0.623882422,0.464287953,0.919503538,0.799586778,2
7.48,49.3762133,-0.623786703,0.464396133,0.919379005,0.799585501,2
7.5,49.3763076,-0.623692384,0.464502465,0.919256337,0.799584224,2
7.52,49.3764006,-0.623599448,0.46460698,0.919135509,0.799582948,2
7.54,49.3764921,-0.623507878,0.464709705,0.919016498,0.799581671,2
7.56,49.3765823,-0.623417655,0.464810671,0.918899279,0.799580395,2
7.58,49.3766712,-0.623328762,0.464909906,0.918783828,0.799579119,2
7.6,49.3767588,-0.623241183,0.465007437,0.918670122,0.799577843,2
7.62,49.3768451,-0.623154901,0.465103292,0.918558137,0.799576567,2
7.64,49.3769301,-0.623069898,0.465197498,0.918447849,0.799575292,2
7.66,49.3770138,-0.622986157,0.465290083,0.918339236,0.799574016,2
7.68,49.3770963,-0.622903664,0.465381071,0.918232275,0.799572741,2
7.7,49.3771776,-0.6228224,0.46547049,0.918126944,0.799571466,2
7.72,49.3772576,-0.62274235,0.465558364,0.91802322,0.799570191,2
7.74,49.3773365,-0.622663498,0.465644719,0.917921082,0.799568916,2
7.76,49.3774142,-0.622585828,0.46572958,0.917820508,0.799567641,2
7.78,49.3774907,-0.622509325,0.465812971,0.917721475,0.799566366,2
7.8,49.377566,-0.622433972,0.465894916,0.917623964,0.799565092,2
7.82,49.3776402,-0.622359755,0.465975438,0.917527953,0.799563818,2
7.84,49.3777133,-0.622286659,0.466054562,0.917433421,0.799562543,2
7.86,49.3777853,-0.622214667,0.466132309,0.917340347,0.799561269,2
7.88,49.3778562,-0.622143766,0.466208704,0.917248712,0.799559995,2
7.9,49.3779261,-0.622073941,0.466283767,0.917158495,0.799558721,2
7.92,49.3779948,-0.622005177,0.466357521,0.917069677,0.799557448,2
7.94,49.3780625,-0.621937459,0.466429987,0.916982238,0.799556174,2
7.96,49.3781292,-0.621870774,0.466501187,0.916896158,0.799554901,2
